FULLNAME,GENDERIDENTITY,BIRTHDATE,AGE,SIGNUPDATE,MEMBERSHIPLABEL,MEMBERSHIPCATEGORY,STATUS,BEGINDATE,ENDDATE,AUTORENEW,DROPREASON,INCOMECATEGORY,LASTATTDATE,ATTTOTAL,AUTOPAY,TOTALPAYMENTAMOUNT,TOTALDURATIONDAYS,MEMBERSHIPCOUNT,MEMBERSHIPTYPE
Darren Roberts,Male,04/18/1991,34,11/14/2022,Flexi Access,Monthly,Inactive,05/22/2023,09/04/2024,No,Schedule Conflicts,Premium Pass,03/23/2024,4,ON,2225,471,3,FirstTime
Brian Ramirez,Male,09/07/1950,74,07/18/2021,Starter Pass,Monthly,Active,07/03/2022,10/16/2023,Yes,,Standard Plan,09/08/2023,1,ON,1504,470,4,Renewed
Jacob Clark,Male,10/25/1986,38,04/26/2023,Starter Pass,Annual,Active,02/06/2024,03/12/2025,No,Found Alternative,Flexi Tier,12/14/2024,5,OFF,1527,400,7,Renewed
Maria Lynch,Male,11/07/1962,62,03/12/2015,Annual Flex,Monthly,Trialing,09/08/2015,05/31/2017,No,Relocation,Standard Plan,04/09/2020,1,ON,1170,631,7,Upgraded
Carla Gray,Female,08/15/1956,68,07/13/2019,Gold Promo,Trial,Inactive,04/15/2020,04/29/2022,Yes,Relocation,Standard Plan,03/28/2024,4,ON,5904,744,3,Referral
Kristin Cohen,Male,10/25/2009,15,05/25/2018,Peak Season Promo,Monthly,Active,04/13/2019,02/13/2021,No,,Standard Plan,12/20/2020,1,ON,3260,672,7,Upgraded
Crystal Johnson,Male,04/13/2000,25,12/05/2019,Starter Pass,Monthly,Inactive,08/24/2020,11/28/2021,Yes,Relocation,Infinity Pass,02/24/2025,5,ON,4784,461,3,FirstTime
Daniel Hahn,Female,01/01/1966,59,02/13/2020,Zen Trial,Annual,Paused,10/01/2020,09/08/2022,No,Relocation,Starter Bundle,04/04/2024,0,ON,3560,707,3,Reactivated
Matthew Foster,Female,06/17/2002,23,07/21/2018,Peak Season Promo,Trial,Trialing,07/30/2019,02/01/2021,Yes,Relocation,Standard Plan,03/16/2022,5,ON,4529,552,4,Reactivated
Derek Wright,Male,12/10/2004,20,09/03/2024,Peak Season Promo,Annual,Inactive,03/03/2025,07/22/2026,Yes,Injury,Standard Plan,03/17/2025,4,OFF,1673,506,4,FirstTime
Kevin Hurst,Male,12/26/1981,43,07/13/2023,Starter Pass,Seasonal,Pending,02/18/2024,03/24/2025,Yes,Lack of Results,Starter Bundle,06/17/2025,0,ON,1791,400,3,Transferred
Zachary Hicks,Male,06/17/1971,54,05/08/2023,Starter Pass,Single Use,Completed,03/04/2024,01/22/2025,Yes,Health Issues,Standard Plan,07/28/2024,2,ON,3566,324,3,Renewed
Brian Burton,Female,05/29/1951,74,12/19/2015,Wellness Bundle,Monthly,Active,12/18/2016,01/20/2019,Yes,,Flexi Tier,07/29/2017,0,ON,3647,763,7,FirstTime
Arthur James,Female,12/24/1996,28,06/13/2023,Starter Pass,Annual,Inactive,06/24/2024,01/23/2026,Yes,Lack of Results,Standard Plan,01/05/2025,3,ON,1607,578,5,FirstTime
Tricia Valencia,Male,03/30/2010,15,10/18/2018,Flexi Access,Monthly,Trialing,10/24/2019,08/07/2021,Yes,Facility Dissatisfaction,Standard Plan,09/29/2022,5,ON,5069,653,6,Upgraded
Melanie Herrera,Male,03/30/1946,79,11/19/2025,Monthly Plus,Annual,Pending,06/07/2026,03/06/2028,Yes,Found Alternative,Premium Pass,06/07/2026,0,ON,4200,638,7,Gifted
Ashley Graham,Male,11/03/1962,62,06/14/2017,Flexi Access,Annual,Active,01/09/2018,02/27/2020,Yes,Financial Constraints,Infinity Pass,07/01/2021,0,OFF,1603,779,4,Referral
Sherri Baker,Male,12/27/1974,50,02/10/2024,Starter Pass,Seasonal,Active,01/08/2025,04/03/2026,No,,Wellness Plan,05/18/2025,1,ON,2189,450,4,Upgraded
Thomas Harrell,Female,01/13/1978,47,12/02/2015,Momentum Membership,Annual,Inactive,08/10/2016,07/09/2018,No,Injury,Premium Pass,06/10/2020,3,ON,4034,698,3,Reactivated
Lisa Hernandez,Other,11/23/1964,60,06/06/2024,Starter Pass,Monthly,Pending,03/01/2025,03/31/2026,No,Injury,Flexi Tier,06/16/2025,1,ON,1096,395,5,Upgraded
Paula Moreno,Female,01/22/1995,30,03/31/2015,Wellness Bundle,Single Use,Completed,11/14/2015,02/08/2017,Yes,Schedule Conflicts,Starter Bundle,05/31/2021,2,ON,2291,452,4,Renewed
Alec Hickman,Female,07/14/1945,79,04/13/2022,Annual Flex,Annual,Active,12/22/2022,01/20/2024,Yes,Facility Dissatisfaction,Standard Plan,12/05/2023,2,ON,1285,394,4,Transferred
Elizabeth Brown,Male,08/12/2002,22,08/25/2024,Peak Season Promo,Trial,Active,06/27/2025,06/28/2027,No,Health Issues,Standard Plan,06/27/2025,3,ON,5148,731,7,Renewed
Angelica Tucker,Male,07/26/2002,22,03/20/2015,Peak Season Promo,Trial,Active,09/30/2015,08/04/2017,Yes,Schedule Conflicts,Flexi Tier,05/03/2018,2,ON,3058,674,5,Referral
Pamela Anderson,Female,12/30/1949,75,12/14/2017,Momentum Membership,Monthly,Active,07/16/2018,08/27/2020,Yes,Financial Constraints,Standard Plan,02/22/2019,0,OFF,1695,773,4,Renewed
Deborah Brennan,Female,05/22/1976,49,03/24/2016,Momentum Membership,Annual,Active,12/05/2016,12/08/2018,Yes,Schedule Conflicts,Flexi Tier,07/27/2017,4,ON,5844,733,3,Upgraded
Joshua Blair,Non-binary,12/31/1972,52,09/15/2018,Flexi Access,Monthly,Inactive,05/30/2019,04/26/2021,Yes,Relocation,Standard Plan,02/04/2021,3,OFF,3986,697,6,FirstTime
Zachary Santos,Male,07/28/1958,66,07/28/2015,Starter Pass,Trial,Pending,03/13/2016,12/02/2017,No,Schedule Conflicts,Standard Plan,03/04/2020,0,ON,5542,629,4,Gifted
Barbara Walker,Male,12/21/1973,51,08/03/2021,Momentum Membership,Annual,Inactive,04/13/2022,04/16/2023,Yes,Financial Constraints,Standard Plan,04/02/2024,0,ON,5287,368,5,Transferred
Crystal Robinson,Female,06/22/1967,57,04/28/2015,Flexi Access,Annual,Active,11/09/2015,07/22/2017,Yes,Financial Constraints,Premium Pass,10/21/2020,3,OFF,1269,621,5,Reactivated
Crystal Whitehead,Male,02/10/1950,75,04/23/2019,Peak Season Promo,Annual,Inactive,01/14/2020,04/28/2021,No,Health Issues,Velocity Tier,01/02/2021,2,OFF,4901,470,5,FirstTime
David Caldwell,Male,05/16/2001,24,02/09/2016,Starter Pass,Trial,Active,12/30/2016,02/06/2019,Yes,Financial Constraints,Standard Plan,05/14/2019,4,OFF,1580,768,3,FirstTime
Timothy Duncan,Female,06/04/1959,66,03/26/2016,Starter Pass,Trial,Paused,02/20/2017,12/24/2018,Yes,,Starter Bundle,10/17/2017,2,OFF,2956,672,6,Upgraded
Rhonda Lee,Male,03/21/1976,49,07/21/2023,Wellness Bundle,Single Use,Suspended,02/22/2024,08/19/2025,Yes,Health Issues,Starter Bundle,08/01/2024,3,ON,1797,544,5,Referral
Jeff Owens,Female,10/19/1951,73,02/01/2015,Momentum Membership,Monthly,Guest,10/28/2015,08/24/2016,Yes,,Premium Pass,08/03/2019,0,OFF,1460,301,7,Upgraded
Victoria Garcia,Female,11/19/1992,32,07/09/2022,Momentum Membership,Trial,Completed,05/17/2023,11/22/2024,Yes,Relocation,Velocity Tier,01/26/2024,0,OFF,5444,555,6,Reactivated
Scott Wright,Female,09/01/1971,53,06/17/2023,Momentum Membership,Annual,Active,03/24/2024,05/10/2025,Yes,Personal Reasons,Starter Bundle,12/19/2024,3,OFF,5744,412,4,FirstTime
Javier Ramirez,Female,11/10/1957,67,03/23/2025,Starter Pass,Monthly,Active,04/03/2026,08/04/2027,No,Health Issues,Standard Plan,04/03/2026,1,ON,4055,488,3,Renewed
Jessica Callahan,Female,09/25/1961,63,08/29/2018,Starter Pass,Trial,Paused,09/02/2019,11/09/2021,Yes,,Flexi Tier,06/26/2022,3,ON,3675,799,6,FirstTime
Zachary Huff,Non-binary,04/08/1981,44,07/28/2025,Momentum Membership,Annual,Trialing,07/10/2026,05/11/2028,No,,Starter Bundle,07/10/2026,2,ON,5594,671,3,FirstTime
Sarah Martin,Female,06/24/2008,16,10/23/2019,Peak Season Promo,Annual,Completed,07/24/2020,09/27/2022,Yes,Schedule Conflicts,Standard Plan,11/26/2020,4,ON,4413,795,6,FirstTime
James Brown,Male,01/23/1977,48,12/16/2025,Starter Pass,Monthly,Paused,08/22/2026,07/31/2027,Yes,,Standard Plan,08/22/2026,5,ON,4839,343,6,Renewed
Mrs. Rachel Gibson,Male,02/17/1970,55,10/06/2019,Monthly Plus,Trial,Suspended,09/14/2020,01/22/2022,Yes,,Premium Pass,01/03/2024,1,OFF,1566,495,6,FirstTime
Whitney Peters,Female,12/28/1972,52,10/13/2018,Monthly Plus,Monthly,Inactive,05/28/2019,05/04/2020,Yes,Schedule Conflicts,Flexi Tier,09/25/2020,5,ON,5457,342,5,Referral
Edward Novak,Male,03/11/1992,33,07/11/2022,Starter Pass,Flex Plan,Pending,07/12/2023,09/05/2025,Yes,Facility Dissatisfaction,Standard Plan,05/24/2024,1,ON,3080,786,7,Gifted
Nicole Brown,Male,02/22/1983,42,08/08/2023,Peak Season Promo,Trial,Suspended,07/30/2024,03/12/2026,No,Injury,Premium Pass,08/08/2024,5,ON,3564,590,3,Renewed
Sarah Moore,Female,06/20/1983,41,07/26/2015,Starter Pass,Seasonal,Trialing,04/30/2016,05/17/2018,No,Injury,Flexi Tier,08/10/2020,0,ON,3608,747,4,Referral
Cody Larson,Female,12/12/2007,17,11/14/2022,Starter Pass,Trial,Active,08/02/2023,06/15/2025,No,,Standard Plan,10/09/2023,5,ON,984,683,6,Upgraded
Bryan Zamora,Non-binary,05/21/1989,36,11/20/2021,Gold Promo,Single Use,Active,10/20/2022,07/18/2024,Yes,Relocation,Standard Plan,05/11/2025,4,OFF,5014,637,5,Renewed
Lisa Barnes,Other,07/02/1961,63,09/25/2022,Zen Trial,Monthly,Guest,05/02/2023,04/18/2024,No,,Standard Plan,06/28/2023,1,ON,3736,352,5,FirstTime
Taylor Harris,Non-binary,06/08/1983,42,04/25/2020,Peak Season Promo,Annual,Paused,04/20/2021,06/18/2022,Yes,Health Issues,Standard Plan,12/16/2021,4,ON,1272,424,6,Transferred
James Powers,Female,01/19/1992,33,12/12/2024,Peak Season Promo,Single Use,Inactive,07/04/2025,11/16/2026,Yes,,Standard Plan,07/04/2025,3,ON,2422,500,5,FirstTime
Paul Jones,Female,12/30/1964,60,02/08/2017,Peak Season Promo,Monthly,Active,08/16/2017,12/25/2018,Yes,Financial Constraints,Standard Plan,03/25/2019,0,ON,2330,496,4,Upgraded
Dr. Angel Lewis MD,Female,04/15/1975,50,08/24/2021,Annual Flex,Annual,Inactive,03/04/2022,12/30/2022,No,Health Issues,Flexi Tier,05/25/2024,0,OFF,2452,301,3,Referral
Sherry Wood,Male,02/27/2006,19,05/08/2020,Annual Flex,Annual,Active,03/06/2021,03/23/2022,Yes,,Premium Pass,11/13/2023,0,ON,4841,382,6,Reactivated
Michele Carr,Male,10/02/1955,69,11/13/2015,Starter Pass,Trial,Active,07/09/2016,01/23/2018,Yes,Financial Constraints,Flexi Tier,06/24/2024,1,ON,1085,563,4,Upgraded
Aimee Montoya,Female,08/31/2009,15,12/01/2019,Momentum Membership,Monthly,Active,08/13/2020,07/23/2022,Yes,Financial Constraints,Standard Plan,07/07/2022,0,ON,2474,709,3,FirstTime
Teresa Taylor,Male,12/15/1964,60,02/23/2017,Starter Pass,Annual,Active,12/18/2017,12/25/2019,Yes,Schedule Conflicts,Flexi Tier,10/23/2020,3,ON,2610,737,5,Renewed
Juan Nelson,Female,12/31/1952,72,07/08/2020,Starter Pass,Single Use,Completed,04/13/2021,09/08/2022,Yes,Relocation,Starter Bundle,10/16/2023,2,ON,1421,513,6,FirstTime
Christina Walters,Male,10/23/1984,40,12/24/2025,Momentum Membership,Annual,Inactive,12/24/2026,10/31/2028,Yes,Schedule Conflicts,Starter Bundle,12/24/2026,2,ON,1443,677,4,Upgraded
Taylor Mathis Jr.,Female,08/28/1962,62,08/23/2018,Annual Flex,Monthly,Inactive,08/08/2019,06/07/2021,Yes,Health Issues,Premium Pass,11/29/2022,2,ON,4268,669,5,Upgraded
Aaron Wise,Male,01/11/1973,52,08/25/2018,Starter Pass,Annual,Active,02/27/2019,06/15/2020,Yes,Financial Constraints,Wellness Plan,04/23/2023,4,ON,2796,474,5,Reactivated
Patrick Arnold,Female,11/28/1986,38,01/31/2021,Momentum Membership,Trial,Inactive,02/06/2022,04/09/2024,Yes,Personal Reasons,Standard Plan,08/21/2022,2,ON,5408,793,3,Upgraded
Benjamin Ware,Male,04/18/1973,52,10/15/2017,Peak Season Promo,Monthly,Active,08/23/2018,06/22/2019,No,Facility Dissatisfaction,Standard Plan,10/10/2020,5,ON,3346,303,6,FirstTime
Sandra Aguilar,Male,04/02/2004,21,03/23/2019,Starter Pass,Annual,Active,01/04/2020,11/02/2021,Yes,,Standard Plan,04/28/2025,5,ON,2121,668,5,Upgraded
Eric Nolan,Non-binary,02/14/1955,70,11/26/2015,Starter Pass,Annual,Suspended,12/29/2016,02/01/2019,No,,Standard Plan,05/23/2021,4,ON,5570,764,5,Reactivated
Stephanie Clark,Female,03/30/1997,28,02/22/2020,Peak Season Promo,Monthly,Active,10/30/2020,10/12/2021,No,Relocation,Standard Plan,09/25/2023,3,ON,3816,347,3,Transferred
Richard Henson,Male,09/19/1961,63,06/24/2025,Starter Pass,Monthly,Active,04/09/2026,04/23/2028,Yes,Financial Constraints,Premium Pass,04/09/2026,2,ON,3530,745,3,FirstTime
Brittany Spears,Male,11/29/1971,53,03/15/2019,Starter Pass,Trial,Suspended,11/13/2019,11/27/2020,Yes,Found Alternative,Standard Plan,05/22/2021,3,ON,4057,380,3,Renewed
Rita Keith,Female,09/11/2001,23,05/18/2025,Momentum Membership,Annual,Active,12/21/2025,11/22/2026,No,,Velocity Tier,12/21/2025,1,ON,3661,336,4,Renewed
Evelyn Galvan,Female,02/09/1947,78,09/25/2021,Starter Pass,Trial,Paused,07/08/2022,05/20/2024,Yes,,Standard Plan,08/28/2024,3,OFF,982,682,7,FirstTime
Rita Adams,Male,08/22/1997,27,01/23/2023,Starter Pass,Single Use,Paused,10/14/2023,11/21/2025,Yes,Health Issues,Wellness Plan,05/18/2025,3,ON,5753,769,7,Renewed
Shane Garrison,Female,09/04/1996,28,02/07/2020,Momentum Membership,Annual,Active,10/05/2020,08/20/2021,No,Schedule Conflicts,Standard Plan,04/10/2023,0,OFF,3565,319,6,Upgraded
Julia Torres,Female,12/15/1959,65,02/05/2018,Annual Flex,Monthly,Active,10/29/2018,01/03/2021,No,Facility Dissatisfaction,Standard Plan,08/02/2023,1,ON,2190,797,5,Renewed
Alexander Lee,Female,03/12/1997,28,06/02/2017,Peak Season Promo,Single Use,Guest,04/06/2018,08/19/2019,Yes,Relocation,Standard Plan,09/25/2019,1,ON,5370,500,6,FirstTime
Tracy Ramirez,Female,11/01/1966,58,09/23/2023,Wellness Bundle,Single Use,Active,10/13/2024,10/11/2026,No,Financial Constraints,Wellness Plan,01/07/2025,5,ON,5333,728,3,Upgraded
William Herrera,Female,03/12/1987,38,02/20/2021,Starter Pass,Annual,Paused,02/19/2022,08/16/2023,No,Lack of Results,Flexi Tier,09/28/2023,1,ON,2441,543,7,Upgraded
Wesley White,Male,07/19/2006,18,10/29/2017,Starter Pass,Seasonal,Inactive,07/13/2018,07/18/2020,Yes,Schedule Conflicts,Infinity Pass,03/27/2024,5,ON,4491,736,6,Reactivated
Brian Hamilton,Female,01/23/2008,17,05/18/2019,Peak Season Promo,Trial,Pending,05/13/2020,06/04/2022,No,Facility Dissatisfaction,Flexi Tier,05/24/2021,3,OFF,3877,752,4,Renewed
Larry Dixon,Male,11/07/1992,32,01/03/2016,Peak Season Promo,Monthly,Active,01/29/2017,08/20/2018,No,,Infinity Pass,11/17/2024,2,ON,5259,568,4,FirstTime
Dawn Fletcher,Non-binary,07/14/1970,54,12/01/2020,Gold Promo,Trial,Completed,08/13/2021,09/27/2023,No,Schedule Conflicts,Premium Pass,01/09/2023,5,ON,3972,775,4,FirstTime
Kimberly Ball,Male,08/10/1945,79,07/02/2024,Wellness Bundle,Trial,Active,04/01/2025,01/04/2027,Yes,Schedule Conflicts,Infinity Pass,05/02/2025,1,ON,3009,643,4,Upgraded
Helen Jones,Female,09/21/1993,31,01/02/2022,Momentum Membership,Annual,Active,12/01/2022,10/26/2023,Yes,Financial Constraints,Premium Pass,03/05/2023,5,ON,870,329,4,Referral
Erik Charles,Male,09/02/1988,36,01/30/2018,Peak Season Promo,Monthly,Active,10/07/2018,11/04/2019,Yes,Financial Constraints,Velocity Tier,03/12/2019,2,ON,5765,393,4,Upgraded
Eric Ortiz,Male,04/12/1992,33,11/05/2016,Zen Trial,Monthly,Inactive,09/01/2017,11/06/2018,Yes,Personal Reasons,Standard Plan,05/05/2024,0,OFF,2518,431,5,FirstTime
Cameron Fisher,Male,08/27/1971,53,03/10/2024,Starter Pass,Annual,Inactive,03/29/2025,06/09/2026,Yes,Personal Reasons,Premium Pass,04/08/2025,2,ON,1316,437,3,Upgraded
Stephanie Gilbert,Female,08/15/2006,18,03/03/2015,Peak Season Promo,Annual,Active,01/21/2016,08/31/2017,No,,Standard Plan,11/17/2016,3,ON,3549,588,3,Reactivated
April Mitchell,Female,01/21/1965,60,04/04/2020,Starter Pass,Annual,Paused,11/26/2020,11/20/2022,Yes,Financial Constraints,Standard Plan,11/28/2022,2,ON,4156,724,6,Reactivated
Mary Marshall,Male,06/09/1973,52,01/15/2017,Starter Pass,Monthly,Active,10/09/2017,09/30/2018,Yes,Relocation,Standard Plan,01/31/2021,5,ON,3101,356,5,Renewed
John Santana,Female,03/28/1974,51,12/03/2023,Gold Promo,Annual,Paused,06/08/2024,10/22/2025,Yes,Relocation,Wellness Plan,09/02/2024,5,ON,1693,501,6,FirstTime
Bradley Robertson,Male,03/28/1997,28,02/05/2024,Starter Pass,Annual,Inactive,09/07/2024,08/02/2025,Yes,,Starter Bundle,10/15/2024,5,ON,5672,329,5,Upgraded
Robert Potter,Male,08/21/1986,38,07/23/2019,Peak Season Promo,Annual,Inactive,07/20/2020,07/04/2022,Yes,Facility Dissatisfaction,Standard Plan,06/10/2024,2,ON,3032,714,4,Referral
Curtis Johnson,Female,03/24/1989,36,09/13/2018,Starter Pass,Single Use,Active,07/10/2019,09/09/2020,No,Found Alternative,Standard Plan,06/03/2020,4,ON,4226,427,7,Upgraded
Samuel Jones,Female,05/30/1961,64,10/14/2018,Peak Season Promo,Annual,Active,07/22/2019,06/19/2021,No,,Premium Pass,02/12/2020,5,ON,5719,698,3,Upgraded
Cheyenne Horton,Male,06/08/1972,53,05/26/2016,Annual Flex,Trial,Inactive,05/20/2017,06/16/2019,Yes,Facility Dissatisfaction,Flexi Tier,01/10/2020,4,OFF,635,757,4,FirstTime
Matthew Smith,Male,08/19/1977,47,06/07/2025,Starter Pass,Seasonal,Pending,06/17/2026,07/15/2028,Yes,Facility Dissatisfaction,Flexi Tier,06/17/2026,5,ON,4230,759,5,Referral
Ashley Coleman,Female,04/23/1994,31,04/04/2025,Momentum Membership,Monthly,Active,11/06/2025,10/20/2026,Yes,Injury,Standard Plan,11/06/2025,4,ON,753,348,3,FirstTime
Kelly Williams,Male,12/05/1956,68,08/11/2020,Starter Pass,Annual,Paused,03/26/2021,04/20/2023,Yes,Facility Dissatisfaction,Premium Pass,08/12/2022,4,ON,4723,755,7,Referral
Joyce Solis,Female,09/11/1961,63,01/30/2019,Starter Pass,Trial,Active,11/14/2019,07/07/2021,Yes,Financial Constraints,Premium Pass,11/20/2024,3,ON,2367,601,3,Upgraded
Linda Dodson DVM,Female,11/20/1988,36,08/22/2016,Starter Pass,Trial,Paused,06/21/2017,07/22/2018,Yes,Lack of Results,Standard Plan,01/02/2025,0,ON,2900,396,7,Renewed
Kathy Rivas,Female,04/26/1985,40,02/10/2021,Flexi Access,Annual,Inactive,02/16/2022,09/03/2023,Yes,Financial Constraints,Infinity Pass,06/29/2024,1,ON,1108,564,4,Referral
Natasha Wells,Female,02/09/1981,44,08/16/2023,Starter Pass,Monthly,Pending,03/28/2024,09/28/2025,No,Found Alternative,Flexi Tier,04/03/2025,1,ON,2979,549,6,Renewed
Mark Cannon,Male,05/06/1962,63,08/31/2020,Momentum Membership,Annual,Suspended,08/05/2021,05/10/2023,No,Financial Constraints,Flexi Tier,10/21/2022,1,OFF,2948,643,6,FirstTime
Denise Jones,Female,05/20/1979,46,11/05/2019,Annual Flex,Trial,Paused,09/21/2020,11/08/2021,Yes,,Velocity Tier,08/19/2021,4,OFF,5483,413,7,Gifted
Francisco Fernandez,Female,01/26/1964,61,11/22/2016,Gold Promo,Annual,Trialing,08/18/2017,02/12/2019,Yes,Facility Dissatisfaction,Standard Plan,05/04/2020,0,ON,5998,543,4,FirstTime
Michael Mccarthy,Female,06/29/1954,70,11/28/2024,Momentum Membership,Monthly,Active,08/24/2025,06/07/2027,Yes,Schedule Conflicts,Starter Bundle,08/24/2025,1,ON,1533,652,3,Reactivated
Joshua Perry,Female,09/02/1949,75,05/05/2019,Peak Season Promo,Annual,Active,05/24/2020,10/08/2021,No,Financial Constraints,Wellness Plan,05/07/2023,1,ON,2582,502,4,Referral
Taylor Silva,Female,12/10/1958,66,06/18/2022,Zen Trial,Annual,Guest,06/07/2023,03/30/2025,Yes,Schedule Conflicts,Flexi Tier,08/28/2024,1,OFF,1536,662,4,Referral
Pamela James,Female,09/15/1990,34,02/15/2022,Momentum Membership,Annual,Paused,10/26/2022,11/01/2023,Yes,Financial Constraints,Standard Plan,04/21/2023,0,ON,2324,371,5,Upgraded
Paul Castaneda,Male,11/17/1945,79,11/12/2023,Starter Pass,Trial,Suspended,06/27/2024,10/22/2025,Yes,Health Issues,Flexi Tier,02/07/2025,0,ON,5630,482,7,Referral
Paul Payne,Female,06/21/2007,17,12/12/2021,Starter Pass,Annual,Pending,09/02/2022,07/05/2024,No,Schedule Conflicts,Flexi Tier,03/10/2024,4,ON,3216,672,7,Referral
Daniel Graham,Male,09/15/1984,40,04/20/2025,Spring Event,Monthly,Inactive,03/31/2026,02/11/2027,Yes,Relocation,Standard Plan,03/31/2026,0,ON,2307,317,3,FirstTime
Michael Powell,Female,05/21/1947,78,10/06/2015,Momentum Membership,Trial,Suspended,04/18/2016,06/20/2018,No,,Legacy Plan,09/24/2023,4,ON,3759,793,6,Upgraded
Cameron Dean,Female,03/23/1956,69,10/17/2022,Flexi Access,Annual,Trialing,06/02/2023,04/23/2025,Yes,Relocation,Premium Pass,06/26/2023,4,ON,4750,691,4,Reactivated
Justin Johnson,Male,04/02/1947,78,05/22/2017,Gold Promo,Annual,Active,04/24/2018,03/08/2019,No,,Wellness Plan,09/20/2019,1,OFF,5175,318,7,Reactivated
Joel Williams,Female,04/11/1987,38,06/08/2021,Starter Pass,Annual,Active,02/10/2022,03/22/2024,Yes,Injury,Premium Pass,03/04/2023,0,ON,5175,771,5,FirstTime
Gabriel Juarez,Female,02/20/1970,55,02/22/2015,Starter Pass,Single Use,Active,08/26/2015,07/09/2016,Yes,Facility Dissatisfaction,Wellness Plan,12/09/2024,0,ON,2850,318,7,Reactivated
Sandra King,Female,02/20/1970,55,06/05/2015,Starter Pass,Single Use,Guest,03/20/2016,12/16/2017,Yes,,Wellness Plan,02/07/2023,0,ON,3242,636,3,Renewed
Joshua Cooke,Female,10/27/1950,74,09/20/2017,Flexi Access,Monthly,Guest,09/11/2018,08/12/2020,Yes,,Wellness Plan,04/14/2020,2,ON,3665,701,4,Renewed
Rachael Pearson,Male,03/30/1968,57,09/21/2016,Momentum Membership,Monthly,Active,08/10/2017,02/21/2019,No,,Premium Pass,03/08/2020,5,ON,4185,560,3,Upgraded
Christina Smith,Female,07/10/1994,30,11/29/2021,Zen Trial,Monthly,Active,09/14/2022,11/08/2023,Yes,Schedule Conflicts,Starter Bundle,03/25/2023,2,ON,2553,420,3,Renewed
Michael Elliott,Female,05/27/1955,70,08/11/2016,Monthly Plus,Annual,Inactive,07/15/2017,03/25/2019,No,Financial Constraints,Infinity Pass,10/19/2018,3,ON,3531,618,5,FirstTime
Pamela Jackson,Male,08/31/1959,65,11/15/2015,Flexi Access,Trial,Inactive,06/22/2016,01/11/2018,Yes,Facility Dissatisfaction,Standard Plan,07/25/2017,4,OFF,1118,568,3,Referral
Ashley Weiss,Non-binary,12/19/1984,40,08/05/2025,Flexi Access,Trial,Guest,03/31/2026,03/16/2028,Yes,Financial Constraints,Standard Plan,03/31/2026,1,ON,1372,716,4,Renewed
Alexander Collins,Female,03/15/2008,17,06/17/2020,Momentum Membership,Annual,Suspended,03/03/2021,01/06/2023,Yes,Schedule Conflicts,Standard Plan,12/06/2021,5,OFF,2844,674,6,Reactivated
Jennifer Espinoza,Male,07/10/1989,35,10/20/2023,Starter Pass,Monthly,Paused,07/30/2024,01/08/2026,Yes,,Standard Plan,02/27/2025,4,ON,1889,527,6,Referral
